번호,품목명,구분,질문,답변
1022, 중형승용자동차, AS불만_부품 미보유_품질보증기간 경과 후,5년 전 쏘나타 차량을 구입하여 주행 중 시동이 걸리지 않는 등 하자가 발생되어 제조사 측에 유상 수리를 요구하였으나 부품이 단종되었다는 이유로 수리가 불가능하다고 합니다. 보상기준이 궁금합니다. ,"품질 보증기간은 경과 되었으나 부품 보유기간 이내인 차량에 대해 부품이 없어 수리가 불가능한 경우라면 필수제비용을 포함한 구입가에서 정액감가상각비를 공제한 금액에 10%를 가산하여 환급을 요구할 수 있습니다.   공정거래위원회가 고시한 자동차 관련 ‘소비자분쟁해결기준’에 따르면 품질보증기간 경과 후 하자 발생된 차량에 대해 부품 보유기간 이내임에도 제조사에서 수리용 부품을 보유하지 않아 수리가 불가능한 경우라면 필수제비용을 포함한 구입가에서 정액감가상각비를 공제한 금액에 10%를 가산하여 환급하도록 규정하고 있습니다.   따라서, 품질 보증기간은 경과 되었으나 부품 보유기간 이내인 차량에 대해 부품이 없어 수리가 불가능한 경우라면 필수제비용을 포함한 구입가에서 정액감가상각비를 공제한 금액에 10%를 가산하여 환급을 요구할 수 있다고 판단됩니다.   단, 성능 및 품질 상 하자가 없는 범위 내에서 유사 부품 사용이 가능합니다."
1023, 중형승용자동차, AS불만_차량 인도시 이미 하자,신차 구입 후 인도받아보니 도장 불량이 확인되었습니다. 이런 경우 보상을 받을 수 있나요?,"불량의 경중에 따라 무상 수리, 차량 교환, 구입가 환급 또는 보상을 요구할 수 있습니다(판금·도장 등 육안으로 식별 가능한 하자의 경우에는 차량 인수 후 7일 이내에 이의를 제기하여야 합니다.).   공정거래위원회가 고시한 자동차 관련 ‘소비자분쟁해결기준’에 따르면 차량 인도 시 이미 하자가 있는 경우 보상 또는 무상 수리, 차량 교환, 구입가 환급으로 규정하고 있습니다.   따라서, 차량 인도 당일 도장 불량이 확인된 경우라면 경중에 따라 무상 수리, 차량 교환, 구입가 환급 또는 보상을 요구할 수 있다고 판단됩니다(판금·도장 등 육안으로 식별 가능한 하자의 경우에는 차량 인수 후 7일 이내에 이의를 제기하여야 합니다.).   다만, 대법원 판례에 따르면 「민법」 제581조(종류매매와 매도인의 담보책임) 제1항 및 제2항, 제580조(매도인의 하자담보책임) 제1항, 제575조(제한물권있는 경우와 매도인의 담보책임) 제1항의 각 규정에 따라 목적물에 하자가 있는 경우, 매수인은 그 하자로 인하여 계약의 목적을 달성할 수 없는 때에는 계약을 해제할 수 있고, 그 하자로 인하여 계약의 목적을 달성할 수 없는 정도에 이르지 아니한 때에는 손해배상만을 청구할 수 있으며, 이러한 계약의 해제 또는 손해배상의 청구 대신 하자 없는 물건을 청구할 수 있는 권리(완전물급부청구권)를 갖는다고 할 것이나, 매매목적물의 하자가 경미하여 수선 등의 방법으로도 계약의 목적을 달성하는 데 별다른 지장이 없는 반면 매도인에게 하자 없는 물건의 급부의무를 지우면 다른 구제방법에 비하여 지나치게 큰 불이익이 매도인에게 발생되는 경우와 같이 하자담보의무의 이행이 오히려 공평의 원칙에 반하는 경우에는 위 완전물급부청구권의 행사를 제한될 수 있습니다(대법원 2014. 5. 16. 선고 2012다72582판결 등 참조).    따라서, 앞선 판례 내용에 따라 하자의 정도, 하자 수선의 용이성, 하자의 치유 가능성 등 여러 사정에 비추어 신차 교환(완전물급부청구권 행사)이 제한되거나 대금 환급이 불가할 수도 있습니다."
1024, 중형승용자동차, AS불만_자동차 옵션용품_출고 시 장착된 옵션,차량 구입 시 옵션 장착한 내비게이션 작동 불량으로 차량 제조사로 보상을 요구하였으나 내비게이션 제조업체로 책임을 회피하며 보상 거부합니다. 이런 경우 차량 제조사를 통해 보상받을 수 없나요?,"공정거래위원회가 고시한 자동차 관련 ‘소비자분쟁해결기준’에 따르면 차량 출고 시 이미 장착된 옵션 용품의 경우 하자에 대한 보상 책임을 자동차회사로 규정하고 있습니다.     따라서, 당해 옵션용품인 내비게이션이 품질보증기간 이내라면 무상 수리, 구입가 환급 또는 교환을, 품질보증기간 이후라면 유상 수리 등의 보상을 자동차회사로 요구할 수 있다고 판단됩니다."
1025, 중형승용자동차, AS불만_자동차 옵션용품_차량 출고 후 장착된 옵션,"10개월 전 출고된 차량을 중고로 구입하여 이용 중 옵션용품(ARS, 차량용 내비게이션) 하자로 차량 제조사에 보상을 요구하였으나 차량 출고 후 장착된 옵션이라며 보상 거부합니다. 이런 경우 누구에게 보상을 청구해야 하나요? ","제조업자 또는 판매자 측으로 보상을 요구할 수 있습니다.   공정거래위원회가 고시한 자동차 관련 ‘소비자분쟁해결기준’에 따르면 자동차 옵션용품 (ARS,원격시동경보기, 차량용 내비게이션, 블랙박스, 하이패스 단말기 등)의 하자 보상 책임자를 1) 차량 출고 시 장착된 옵션 용품의 경우 자동차회사로 2) 차량 출고 후 장착된 옵션 용품의 경우 용품 제조업자, 판매자, 장착사업자 중 책임 있는 사업자로 규정하고 있습니다.   따라서, 차량 출고 후 장착된 옵션용품(ARS, 차량용 내비게이션) 하자에 대해서는 용품제조업자 또는 판매자 측으로 보상을 요구할 수 있다고 판단됩니다."
1026, 중형승용자동차, AS불만_배출가스 ,2016년 3월 출고된 투싼 차량 소유자로서 2022년 12월경 주행 중 출력 저하로 주행이 불가하여 정비업체 입고하여 점검한 결과 배출가스 관련 부품인 EGR밸브 문제라고 합니다. 배출가스 관련 보증은 10년으로 알고 있어 무상 수리를 요구하였으나 부품의 보증기간 경과를 이유로 거부합니다. EGR밸브가 배출가스 관련 부품이 아닌가요?,"배출가스 관련 부품인 EGR밸브의 보증기간은 5년 또는 8만Km인데 이 기간이 경과한 상태이므로 무상 수리를 요구하기는 어렵습니다.   「대기환경보전법」 제46조(제작차의 배출허용기준 등) 제3항 및 동법 시행규칙 제63조(배출가스 보증기간)에 따르면 자동차의 배출가스 자체의 보증기간과 배출가스 관련 부품의 보증기간에 대해 다르게 규정하고 있습니다.   이 규정에 따르면 중형승용차인 투싼 차량(경유)의 경우(2016년 1월 1일 이후 2023년 12월 31일까지 제작된 차량에 해당) 배출가스 보증기간은 10년(또는 160,000km)으로 규정되어 있는 반면(「대기환경보전법 시행규칙」 별표18 제8호), 배출가스 관련 부품인 EGR밸브의 보증기간은 5년(또는 80,000km)으로 규정되어 있습니다.(「대기환경보전법 시행규칙」 별표18 제8호 비고 제8호).   보증기간의 만료는 기간 또는 주행거리 중 먼저 도달하는 것을 기준으로 적용됩니다.    따라서, 현행 규정상 배출가스 관련 부품인 EGR밸브의 보증기간(5년 또는 8만Km)이 경과한 상태이므로 무상 수리를 요구하기는 어렵다고 판단됩니다.   이는 자동차 배출가스 관련 부품이 운행자의 다양한 운전조건(운전 습관, 주행패턴, 노면 상태 등)에 따라 영향을 받을 수 있어 별도로 정하고 있으며, 이 기간은 제작차배출허용기준 초과 여부와 무관하게 부품의 이상이 있을 시 무상 수리를 받을 수 있는 기간입니다."
1027, 중형승용자동차, AS불만_전기자동차_ 2022.12.28.일 이후 구입 차량,신청인은 2023.1월 쉐보레 볼트EV 전기자동차를 구입하여 이용 중 배터리 하자가 발생되었습니다. 배터리의 보증기간은 어떻게 되나요?,"전기자동차의 고전원전기장치(배터리 등)에 대해서는 보증기간 3년(주행거리 6만km 이내)을 주장할 수 있습니다.    「자동차관리법 시행규칙」 제49조의3(무상 수리기간 및 부품의 공급 기간 등) 및 공정거래위원회가 고시한 자동차 관련 ‘소비자분쟁해결기준’에 따르면 전기자동차 및 수소자동차의 고전원전기장치(배터리 등)에 대한 보증기간을 3년(주행거리 6만km 이내)으로 규정하고 있습니다.    따라서, 전기자동차의 고전원전기장치(배터리 등)에 대해서는 보증기간 3년(주행거리 6만km 이내)을 주장할 수 있다고 판단됩니다.   다만, 제작사가 위 법에서 정한 기준 이상으로 별도의 보증기간을 정하고 있는 경우에는 자체 기준이 우선합니다. "
1028, 중형승용자동차, 안전(제품/시설)_급발진,자동차 주행 중 급발진 추정 사고가 발생되었습니다. 제조사에는 운전 부주의를 주장하고 있으나 신청인은 급발진이 의심되어 알아보니 EDR이라는 자료가 있다는데 이를 제조사에 요구할 수 있나요?,"「자동차관리법」 제29조의3(사고기록장치의 장착 및 정보제공) 제2항 및 「자동차관리법 시행규칙」 제30조의3(사고기록장치의 장착 안내 및 정보제공 등)에 따르면 자동차 제작·조립 또는 수입하는 자는 사고기록장치(EDR)가 장착된 자동차를 판매하는 경우 동법 제29조의3 제3항에 해당하는 자(자동차 소유자, 자동차 소유자의 배우자·직계존속 또는 직계비속, 사고 자동차의 운전자, 사고 자동차의 운전자의 배우자·직계존속 또는 직계비속, 국토교통부장관, 성능시험대행자)의 요청이 있을 경우 해당 자동차의 사고 기록장치에 기록된 내용(또는 이 법 또는 관계 법령에 따라 사고기록장치 내용을 분석한 경우 그 결과보고서)을 제공하도록 규정하고 있습니다.   또한, 「자동차관리법 시행규칙」 제30조의3 제3항에 따르면 사고기록장치 기록내용의 제공을 요구받으면 그날부터 15일 이내에 사고기록의 기록내용을 직접 교부하거나 우편으로 송달하여야 한다고 되어 있으니 이를 참고하시어 자동차 제작업체에 요청할 필요가 있습니다.   더하여, 자동차 급발진 피해가 의심되는 경우라면 국토교통부 산하 교통안전공단( 자동차리콜센터 (0http\://www.car.go.kr)을;1;0;0;http://www.car.go.kr)을HWPHYPERLINK_TYPE_URLHWPHYPERLINK_TARGET_BOOKMARKHWPHYPERLINK_JUMP_CURRENTTABhttp://www.car.go.kr)로 신고하여 도움을 받으시기 바랍니다. "
1029, 중형승용자동차, 안전(제품/시설)_리콜 신고 ,출고된 지 4년된 동일차종에 시동 꺼짐이 다발하고 있어 결함 신고를 하고자 합니다. 어떻게 해야 하나요?  ,"「자동차관리법 시행규칙」 제44조(제작결함정보수집 등)에 따라 결함 정보 수집, 분석기관인 자동차리콜센터(0http\://www.car.go.kr;1;0;0;http://www.car.go.krHWPHYPERLINK_TYPE_URLHWPHYPERLINK_TARGET_BOOKMARKHWPHYPERLINK_JUMP_CURRENTTABhttp://www.car.go.kr , 080-357-2500)로 제보하실 수 있으니 이점 참고하시어 도움을 받으시기 바랍니다."
1030, 중형승용자동차, 안전(제품/시설)_리콜 대상 확인 ,본인 소유 차량이 리콜 대상 차량인지 알 수 있나요?,"국토교통부는 「자동차관리법 시행규칙」 제44조(제작결함정보수집 등)에 따라 자동차의 제작결함정보를 수집·분석하는 자동차리콜센터(0http\://www.car.go.kr;1;0;0;http://www.car.go.krHWPHYPERLINK_TYPE_URLHWPHYPERLINK_TARGET_BOOKMARKHWPHYPERLINK_JUMP_CURRENTTABhttp://www.car.go.kr , 080-357-2500)를 운영하고 있으며, 누리집(홈페이지)에서 차량번호 및 차대번호를 입력하면 언제든지 해당 차량의 리콜대상 여부와 구체적인 제작결함 사항을 확인할 수 있습니다. "
1031, 중형승용자동차, 안전(제품/시설)_리콜 소유자 자비 수리,"최근 본인 차량에 대해 리콜 통지문을 받았으나 7개월 전 이미 자비로 수리한 상태로, 이런 경우 수리비를 보상 받을 수 있나요?","결함시정 전(7개월 전)에 그 결함 내용을 자비로 수리한 경우 제작사에 수리한 비용에 대한 보상을 요구할 수 있습니다.   「자동차관리법」 제31조의2(자체 시정한 자동차 소유자에 대한 보상)에 따르면 결함 사실을 공개하기 전 1년이 되는 날과 결함조사를 시작한 날 중 빠른 날 이후에 그 결함을 시정한 자동차 소유자(자동차 소유자였던 자로서 소유 기간 중에 그 결함을 시정한 자를 포함한다) 및 결함 사실을 공개한 이후에 그 결함을 시정한 자동차 소유자에게 자체 시정한 비용을 보상하도록 규정하고 있습니다.   따라서, 결함시정 전(7개월 전)에 그 결함 내용을 자비로 수리한 경우 제작사에 수리한 비용에 대한 보상을 요구할 수 있다고 판단됩니다."
1032, 중형승용자동차, 안전(제품/시설)_침수_전손처리 폐차,본인은 약 6년 전 도요타 캠리 차량을 구입하여 운행 중 이번 폭우로 인해 차량이 침수되어 보험사를 통해 전손처리를 하였습니다. 보험사로부터 해 차량에 대해 폐차해야 한다고 들었는데 반드시 폐차해야 하나요?,"침수로 전손처리 결정된 경우 30일 이내 자동차해체재활용업체에 폐차를 요청해야 합니다.   「자동차관리법」 제26조의2(침수로 인한 전손 처리 자동차의 폐차 처리) 및 「자동차관리법 시행규칙」 제25조의2(침수로 인한 전손 처리 자동차의 폐차 처리)에 따르면 침수로 인한 전손처리 자동차의 소유자는 국토교통부령으로 정하는 기간 내에 해당 자동차를 자동차해체재활용업자에게 폐차 요청하여야 한다고 규정하고 있으며 이때 국토교통부령으로 정하는 기간은 해당 자동차가 침수로 인하여 전손(全損) 처리 결정된 사실을 안 날부터 30일을 말합니다.    따라서, 해당 차량에 대해 침수로 전손처리가 결정된 경우 30일 이내 자동차해체재활용업체에  폐차를 요청해야 한다고 판단됩니다. "
1033, 중형승용자동차, 가격.요금_전기자동차_고속도로 이용료,본인은 테슬라 전기 차량을 2022.10월 구입하여 운행 중에 있습니다. 친환경 차량의 경우 도로 이용료를 할인해준다고 들었는데 사실인가요?,"일정 조건에 해당하는 경우 통행료 감면을 받으실 수 있습니다.   「유료도로법 시행령」 제8조(통행료의 감면대상 차량 및 감면비율) 제1항 제9호에 따르면 2024.12.31.일까지 고속국도를 이용하는 전기자동차 및 수소전기자동차로써 「한국도로공사법」에 따른 한국도로공사가 관리하는 고속국도 중 진출입 요금소 간 거리를 기준으로 20킬로미터 미만의 구간을 운행하는 경우로서 출.퇴근시간대(오전 5시부터 오전 9시까지 및 오후 6부터 오후 10시까지를 말하며, 토요일, 일요일 및 공휴일인 경우는 제외한다)에 전자적인 지급수단을 이용하여 통행료를 납부하고 진출요금소를 통과하는 차량에 대해 통행료 감면(감면비율 100분의 50) 대상으로 규정하고 있습니다.   따라서, 상기 조건에 적용되는 경우 통행료 감면을 받으실 수 있다고 판단됩니다."
1034, 초고속인터넷, 계약해지_설명과 상이한 이용요금을 이유로 한 계약해지,초고속인터넷서비스 이용 계약체결 시 설명한 요금과 계약서에 기재된 이용요금이 달라 계약을 해지하려고 했더니 위약금을 요구하고 있습니다. 위약금을 면제받을 수 있을까요?,"이용요금이 설명과 다름이 확인된다면 계약해지 후 요금 청구를 취소하고 할인반환금을 면제받을 수 있으며, 이용요금을 납부한 경우라면 납부한 금액을 환급받을 수 있습니다.「전기통신사업법」 제50조(금지행위)에 따르면 전기통신사업자가 이용자에게 전기통신서비스의 이용요금, 약정조건, 요금할인 등의 중요한 사항을 설명 또는 고지하지 아니하거나 거짓으로 설명 또는 고지하는 행위를 금지행위로 규정하고 있습니다.따라서, 계약의 주요 조건인 요금 등 중요사항에 대해 설명을 듣지 못했거나 고지 내용과 다른 계약이 체결된 경우 「전기통신사업법」에 따라 초고속인터넷 서비스 이용 계약을 해지 후 요금 청구를 취소하고 할인반환금을 면제받을 수 있으며, 이용요금을 납부한 경우라면 납부한 금액을 환급받을 수 있다고 판단됩니다.다만, 서비스를 이용한 경우에는 사용 요금이 청구될 수 있으니 주의가 필요합니다."
1035, 초고속인터넷, 계약해지_설치 불가 지역 이사로 인한 계약해지 위약금,초고속인터넷서비스 이용 계약 기간 내 서비스가 안되는 지역으로 이사를 하게 되었는데 위약금을 청구한 것은 부당하다고 생각됩니다. 위약금을 지급해야 하나요?,"계약기간 이내에 서비스 불가 지역으로 이사한 경우로 주민등록등본 등 입증자료를 제출할 시 계약해지에 따른 위약금 없이 계약해지를 요구할 수 있습니다.공정거래위원회가 고시한 초고속인터넷 통신망 서비스업 관련 '소비자분쟁해결기준‘에 따르면 계약기간 이내에 서비스가 안 되는 지역으로 이사할 경우 위약금 없이 계약을 해지하도록 규정하고 있습니다.따라서, 계약기간 이내에 서비스 불가 지역으로 이사한 경우로 주민등록등본 등 입증자료를 제출할 시 계약해지에 따른 위약금(할인반환금) 없이 계약해지를 요구할 수 있습니다. 만약 주소이전 불가 등의 사유로 사업자가 요구하는 입증자료(주민등록등본) 제출이 어려울 경우, 부동산임대차계약서, 주택매매계약서, 통장의 실거주확인서 등의 증빙자료로도 주민등록등본에 갈음할 수 있습니다.다만, 계약 당시 상품권 등 사은품을 받았다면 소비자의 사정으로 인해 계약을 해지한 경우이므로 사업자에게 사은품을 반환해야 합니다."
1036, 초고속인터넷, 계약해지_해외유학/군입대로 인한 계약해지,"초고속인터넷서비스 이용 계약 기간 내 해외 유학을 가게 되어 계약을 해지해야 하는데, 위약금이 부과되나요? ","유학 관련 입증자료 제출 시 위약금 없이 이용 계약을 해지할 수 있으며, 군 입대를 한 경우에도 관련 입증자료를 제출하면 위약금 없이 해지할 수 있습니다.공정거래위원회가 고시한 초고속인터넷 통신망 서비스업 관련 '소비자분쟁해결기준‘에 따르면 계약기간 이내에 1년 이상의 장기유학의 경우 관련 자료를 제출하면 위약금 없이 계약을 해지할 수 있도록 규정하고 있습니다.따라서, 유학 관련 입증자료 제출 시 위약금 없이 이용 계약을 해지할 수 있으며, 군 입대를 한 경우에도 관련 입증자료를 제출하면 위약금 없이 해지할 수 있다고 판단됩니다.다만, 약정기간 만료 전 계약을 해지하는 경우이므로 계약 당시 할인 혜택 금액은 반납하여야 하며 군 입대로 인한 해지 시 초고속인터넷 설치 장소에 계약자 본인이 단독으로 거주하는 경우에만 해당됩니다. "
1037, 초고속인터넷, 계약해지_상향속도 저하로 인한 계약해지,"인터넷 업로드 속도 저하로 계약을 해지했는데, 이용약관 상 최저보장 속도가 다운로드 속도에 한정된 것이라는 이유로 위약금(할인반환금)을 청구하는 것은 부당하다고 판단됩니다. 이를 이유로 위약금 없는 계약해지 요구가 가능할까요? ","하향 전송속도가 최저보장 속도를 충족하는 경우 사업자에게 계약해지의 귀책 사유가 있다고 보기 어려워 위약금 없는 계약해지를 요구하기 어렵습니다.과학기술정보통신부의 ‘전기통신역무 선택에 필요한 정보제공 기준’ 제3조에 따르면 ‘기가급인터넷서비스`는 ‘하향 전송속도’를 기준으로 그 속도가 100Mbps를 초과하고 2.5Gbps 미만인 인터넷가입자 접속서비스`라 정의하고 있습니다.따라서, 속도 측정 결과 하향 전송속도가 최저보장 속도에 미달하지 않는다면 업로드 속도(상향속도) 저하를 이유로 계약을 해지한 경우에는 사업자에게 계약해지의 귀책 사유가 있다고 보기 어렵습니다. 즉, 약정기간 만료 전 계약을 해지하는 경우 할인받은 요금의 일부가 위약금으로 청구되는 것이므로 계약을 해지할 경우 할인반환금(위약금)을 환급해야 합니다.다만, 인터넷 속도는 서비스 이용 계약 선택에 있어 중요 조건으로 볼 수 있으므로 인터넷의 하향속도와 상향속도 간 차이가 발생할 수 있다는 안내를 받지 못하였다면 일부 보상을 요구할 수 있습니다."
1038, 초고속인터넷, 계약해지_해지 누락으로 인한 부당요금 청구,"남편 명의의 초고속인터넷서비스를 이용해오다가 해지를 요청하고 다른 인터넷에 신규로 가입하였는데, 기존의 인터넷서비스 해지가 누락돼 2년 동안 요금이 인출되었습니다. 사업자는 남편으로부터 직접 해지 통지를 받지 못했다며 보상을 거절하고 있는데, 부당하게 인출된 금액을 환급받을 수 있을까요?","전화로 해지를 통지한 시점에 계약해지의 효력이 발생하였다고 볼 수 있을 것이므로 부당하게 인출된 요금에서 위약금을 공제한 나머지 금액에 대해 환급을 요구할 수 있습니다.「민법」 제827조(부부간의 가사대리권)에 따르면 부부는 일상 가사에 관하여 서로 대리권이 있다고 규정하고 있습니다.초고속인터넷서비스 해지 누락과 관련된 사례에 있어서 중요한 사항은 해지할 권한을 가진 자가 명확하게 해지 의사를 통지하였는지 확인하는 것이라고 할 수 있습니다. 해지 누락과 관련 피해는 대부분 전화로 해지한 경우에 발생하고 있는데 이때에는 사업자가 보관해 놓은 녹취자료를 통해 판단하고 있습니다.따라서, 가입자가 남편임을 밝히고 배우자가 해지 의사를 통지한 것으로 확인된다면 초고속인터넷서비스는 부부의 공동생활에 통상적으로 필요하여 구입하는 일상가사의 범위에 포함되므로 「민법」에 따라 배우자의 해지통보에 의한 효력이 인정될 수도 있다면 계약해지의 효력이 전화로 해지를 통지한 시점에 발생하였다고 볼 수 있을 것이므로 그동안 부당하게 인출된 요금에서 해지 요청 시의 위약금을 공제한 나머지 금액에 대해 환급을 요구할 수 있습니다."
1039, 초고속인터넷, 계약해지_본 계약 없는 부가서비스 유지 요구,인터넷 결합상품을 해지하고 부가서비스(ip카메라)만 계속 이용하기를 원하나 사업자가 약관을 이유로 거부합니다. 부가서비스 계약만 유지할 수 있을까요?,"부가서비스는 주서비스에 종속되어 계약되는 것으로 부가서비스만 별도로 계약을 유지할 수는 없을 것으로 보입니다.가입자와 통신서비스사업자 간에 모든 계약은 사전 정해진 약관에 의하여 이루어지고 그 약관들은 통신사업자를 관리·감독하는 과학기술정보통신부의 승인을 받아 사용하게 되며, 통신서비스 해지 등에 대한 부분도 약관에 의하므로 자세한 내용은 사업자의 홈페이지 약관을 참조해야 합니다.다만, 부가서비스는 주서비스에 종속되어 계약되는 것으로 판단되므로 부가서비스만 별도로 계약을 유지할 수는 없다고 판단됩니다."
1040, 초고속인터넷, 계약해지_서비스 불가 지역 이사 시 위약금,통신결합상품(인터넷서비스와 TV) 서비스 불가능 지역으로 이사를 가게 되었는데 위약금 지급 및 사은품을 반환해야 하나요?,"서비스 불가능 지역으로 이사를 가게 된 경우 위약금 없는 계약해지를 요구할 수 있으나, 사은품 가액을 계약서에 명시하였고 계약 12개월 이내 계약해지를 요구하는 경우라면 사은품의 가액만큼 위약금이 발생할 수 있습니다.공정거래위원회가 고시한 통신결합상품 관련 '소비자분쟁해결기준‘에 따르면 소비자가 일부 서비스 불가능 지역으로 이사하는 경우 결합상품 전체에 대한 위약금 없는 계약해지(단, 이동통신 계약은 제외)를 하도록 규정하고 있습니다. 그러나, 경품에 대한 위약금은 경품의 가액을 계약서에 명시한 경우에만 청구할 수 있고 경품으로 인한 위약금의 부과 기간은 최대 12개월로 정하고 있습니다.따라서, 서비스 불가능 지역으로 이사를 가게 된 경우 위약금 없는 계약해지를 요구할 수 있으나, 사은품 가액을 계약서에 명시하였고 계약 12개월 이내 계약해지를 요구하는 경우라면 사은품의 가액만큼 위약금이 발생할 수 있습니다. 통신결합상품서비스 가입 당시 받은 계약서 등을 확인하시고 만약 사업자가 당초 약정한 내용과 다르게 위약금을 과다하게 청구하거나 사은품 비용을 요구한다고 판단될 경우 사업자에게 문제 제기를 할 수 있습니다.참고로, 사은품의 가격 산정은 소비자가 시중에서 구매할 수 있는 통상적인 가격을 기준으로 산정합니다."
1041, 초고속인터넷, 계약해지_특정 사업자와 단독 계약된 건물로 이사,다른 지역의 오피스텔로 이사를 가게돼 기존사업자에게 인터넷과 IPTV 이전 신청을 했으나 이사 갈 오피스텔은 다른 통신사와 단독 계약한 상태라 이전설치가 어렵다는 통보를 받았습니다. 본인의 의사와 상관없이 서비스를 해지할 수밖에 없는데 위약금을 부담해야 하나요? ,"특정 사업자와 단독으로 계약되어 있는 건물로 이사하는 경우 이용자의 귀책 사유로 볼 수 없어 서비스 계약해지에 따른 할인반환금을 납부하지 않을 수 있습니다.이용자가 집합건물로 이사함에 따라 발생되는 방송통신서비스 할인반환금은 전액 감면하고, 발생한 할인반환금은 기존 사업자와 독점 사업자가 상호 정산하여 처리하도록 하고 있습니다(2022. 4. 이후 이전 설치 요청 건에 한하여 적용).따라서, 특정 사업자와 단독으로 계약되어 있는 건물로 이사해 이용자가 본인의 의사와 상관없이 기존에 이용하던 서비스를 해지하고 이사할 건물에 계약된 서비스에 가입하더라도 이용자의 귀책 사유로 볼 수 없어 서비스 계약해지에 따른 할인반환금을 납부하지 않을 수 있다고 판단됩니다.다만, 해지 신청 후 14일 이내 기존 사업자에게 제출서류(개인정보 활용 및 제3자 제공동의서, 임대차계약서, 이사 후 주소가 표기된 주민등록등본 등)를 제출해야 합니다. "
1042, 초고속인터넷, 계약해지_요금감면 제외대상,이사 갈 오피스텔이 특정 통신사와 단독계약을 한 상태라 기존에 이용하던 통신사의 CCTV 등 부가서비스를 받지 못합니다. 부가서비스 이용료도 감면받을 수 있는지요?,"부가서비스는 이용자의 선택에 따라 청구되는 요금이고 매월 유동적이기 때문에 요금 감면 대상에서 제외되어 감면받기 어렵습니다.소비자가 독점계약 집합건물로 이사함에 따라 기존 서비스를 중도 해약을 하게 된 경우 기존 사업자와 독점 사업자(신규사업자)가 위약금(할인반환금)을 상호정산하여 처리하도록 개선되어 소비자는 할인반환금을 100% 감면받을 수 있습니다(2022. 1. 20.자 방송통신위원회 보도자료). 이때, 할인반환금 감면 대상은 결합 및 약정기간 할인반환금, 장비임대료 할인반환금이 적용되고, 보안, CCTV 등 제휴서비스 위약금과 경품 위약금 등은 감면대상이 아닙니다.따라서, 부가서비스는 이용자의 선택에 따라 청구되는 요금이고 매월 유동적이기 때문에 요금 감면 대상에서 제외됩니다. "
1043, 초고속인터넷, 계약불이행_설치 지연으로 인한 계약해지,"초고속인터넷 사업자가 약속한 일자에 설치를 하지 않아 불편을 겪었으며, 사전에 고지하지 않은 설치비용을 요구하여 계약을 해제하려고 하는데 가능할까요?","사업자와 최종협의한 설치 일시에 대한 관련 자료가 확인된다면 위약금 없이 예약을 취소하고 계약의 해제를 요구할 수 있습니다.「민법」 제544조(이행지체와 해제)에 따르면 사업자가 채무를 이행하지 아니한 때에는 계약을 해제할 수 있다고 규정하고 있고, 공정거래위원회가 고시한 초고속인터넷 통신망 서비스업 관련 '소비자분쟁해결기준‘에 따르면 설치가 지연된 경우 예약취소가 가능하도록 규정하고 있습니다. 또한, 방송통신위원회의 ’초고속인터넷 분야 맞춤형 피해구제기준‘에 따르면 사전에 고지되지 않은 설치비용을 추가로 청구할 경우에는 최초 고지한 설치비용 외에 사전고지 없이 설치 시점에 현장에서 추가로 청구된 금액에 대해서도 환급을 요구할 수 있다고 규정하고 있습니다.따라서, 사업자와 최종협의한 설치 일시에 대한 녹취자료, 인터넷 신청기록, SMS 기록 등 관련 증빙자료가 구비되었다면 위약금 없이 예약을 취소하고 계약의 해제를 요구할 수 있다고 판단됩니다.다만, 설치 전 사업자가 사전방문하여 설치 환경을 확인한 결과, 다량 설치 등 특수한 사정으로 인해 추가 비용이 예상되어 이용자와 사전협의 후 청구하는 비용은 제외될 수 있습니다."
